slug,baslik,tarih,bolum,ana_kategori,ana_kategori_adi,alt_konu,hastaliklar,lokasyon,kelime_sayisi,gorsel_sayisi,wp_kategoriler,kaynak_url
umraniye-alfa-lipoik-asit,Ümraniye Alfa Lipoik Asit,2024-08-07,Destekleyici Tedaviler,alfa-lipoik-asit,Alfa Lipoik Asit,genel-yazi,,Ümraniye,2554,1,Alfa Lipoik Asit | Genel | Hastalıklarda Tedavi,https://hayrusifa.com.tr/umraniye-alfa-lipoik-asit/
uskudar-alfa-lipoik-asit-tedavisi,Üsküdar Alfa Lipoik Asit Tedavisi,2024-08-17,Destekleyici Tedaviler,alfa-lipoik-asit,Alfa Lipoik Asit,genel-yazi,,Üsküdar,1981,1,Alfa Lipoik Asit | Genel | Hastalıklarda Tedavi | Üsküdar alfa lipoik asit tedavisi,https://hayrusifa.com.tr/uskudar-alfa-lipoik-asit-tedavisi/
umraniye-fitoterapi,Ümraniye Fitoterapi,2024-08-13,Destekleyici Tedaviler,fitoterapi,Fitoterapi,genel-yazi,,Ümraniye,1884,1,Fitoterapi | Genel | Hastalıklarda Tedavi,https://hayrusifa.com.tr/umraniye-fitoterapi/
uskudar-fitoterapi,Üsküdar Fitoterapi,2024-08-15,Destekleyici Tedaviler,fitoterapi,Fitoterapi,genel-yazi,Cilt; Depresyon / Anksiyete; Hormon Bozukluğu; Kronik Yorgunluk; Otoimmün Hastalıklar,Üsküdar,1355,1,Anksiyete | Cilt | Genel | Hastalıklarda Tedavi | Hormon Bozukluğu | Kronik Yorgunluk | Otoimmün Hastalıklar | Üsküdar fitoterapi,https://hayrusifa.com.tr/uskudar-fitoterapi/
umraniye-hidroterapi,Ümraniye Hidroterapi,2024-08-10,Destekleyici Tedaviler,kolon-hidroterapi,Kolon Hidroterapi,genel-yazi,,Ümraniye,1832,1,Genel | Hidroterapi,https://hayrusifa.com.tr/umraniye-hidroterapi/
umraniye-kolon-terapi,Ümraniye Kolon Terapi,2024-08-06,Destekleyici Tedaviler,kolon-hidroterapi,Kolon Hidroterapi,genel-yazi,,Ümraniye,1989,1,Genel | Kolon Terapi,https://hayrusifa.com.tr/umraniye-kolon-terapi/
umraniye-kolon-terapi-2,Ümraniye Kolon Hidroterapi,2024-08-13,Destekleyici Tedaviler,kolon-hidroterapi,Kolon Hidroterapi,genel-yazi,,Ümraniye,1757,1,Genel | Hastalıklarda Tedavi | Kolon Terapi,https://hayrusifa.com.tr/umraniye-kolon-terapi-2/
uskudar-hidroterapi,Üsküdar Hidroterapi,2024-08-23,Destekleyici Tedaviler,kolon-hidroterapi,Kolon Hidroterapi,genel-yazi,,Üsküdar,1375,1,Genel | Hastalıklarda Tedavi | Hidroterapi | Üsküdar Hidroterapi,https://hayrusifa.com.tr/uskudar-hidroterapi/
uskudar-kolon-hidroterapi,Üsküdar Kolon Hidroterapi,2024-08-18,Destekleyici Tedaviler,kolon-hidroterapi,Kolon Hidroterapi,genel-yazi,,Üsküdar,1900,1,Genel | Hastalıklarda Tedavi | Üsküdar kolon hidroterapi,https://hayrusifa.com.tr/uskudar-kolon-hidroterapi/
uskudar-kolon-terapi,Üsküdar Kolon Terapi,2024-08-19,Destekleyici Tedaviler,kolon-hidroterapi,Kolon Hidroterapi,genel-yazi,,Üsküdar,971,1,Genel | Hastalıklarda Tedavi | Üsküdar kolon terapi,https://hayrusifa.com.tr/uskudar-kolon-terapi/
